Time (s),X (hPa),X (hPa)_kalman,X (hPa)_kalman_lowpass
-0.5443425833,1013.412628,637.2788090396408,637.2788051394983
0.4790774167,1013.42926,776.5669661476416,778.1631631176093
1.502491417,1013.438644,892.3184549695704,889.0031432331806
2.525886417,1013.441238,955.0418674518241,956.4605471933363
3.549463417,1013.441238,985.674651869111,987.5831196556854
4.572986417,1013.453751,1000.2877637581543,999.4646263695349
4.724298417,1013.469849,1007.2266247101888,1005.6782720708889
5.672138417,1013.470306,1010.5136672458489,1010.6283744119912
6.619983417,1013.479919,1012.0753355744858,1013.2917311620862
7.567860417,1013.493042,1012.8217330882121,1013.2479967591032
8.515572417,1013.504944,1013.1814321306364,1012.4155175267448
9.463034417,1013.508377,1013.3535552070571,1012.6470162958237
10.41047342,1013.511887,1013.436922107276,1013.7062660319426
11.35798942,1013.516541,1013.4788398937877,1014.1931048903956
12.30554242,1013.518448,1013.4996848104828,1013.6503139375926
13.25314942,1013.518524,1013.5095873559108,1013.0003262825078
14.20061642,1013.551483,1013.5316287366724,1013.1264076096103
15.14819242,1013.564911,1013.5491673084963,1013.7575573511514
16.09581742,1013.565826,1013.557921987203,1014.0165303480345
17.04306942,1013.580551,1013.5698439008445,1013.6441250171969
17.99035342,1013.586273,1013.5784775857369,1013.23144391628
18.93760442,1013.588486,1013.5837547359066,1013.3314470708439
19.88483242,1013.644791,1013.6158811055162,1013.7615472497007
20.83217342,1013.685837,1013.6527196556742,1013.9510726445462
21.77939242,1013.689117,1013.6718664181936,1013.7240025602803
22.72650942,1013.689117,1013.6809327256218,1013.4540382487439
23.67363042,1013.68103,1013.68098408294,1013.4967501132281
24.62083542,1013.604279,1013.6406159579111,1013.7369998941012
25.56829342,1013.55484,1013.5954403081973,1013.809580689699
26.51573942,1013.534851,1013.5635410745011,1013.606436944694
27.46304442,1013.525467,1013.543487625237,1013.3816525661824
28.41039942,1013.512039,1013.5269225057268,1013.3872969906356
29.35772642,1013.512039,1013.519078648787,1013.5785304911574
30.30497642,1013.585892,1013.554246598683,1013.7456293785641
31.25227042,1014.050903,1013.815728181957,1013.8228450388447
32.19955542,1014.322815,1014.082701008345,1013.939330417154
33.14695042,1014.400558,1014.2500557607136,1014.1871518292196
34.09437742,1014.551239,1014.4086077154644,1014.4615960202851
35.04187242,1014.562378,1014.4895652004321,1014.5876286499791
35.98918942,1014.562378,1014.5278999030527,1014.541788287255
36.93667342,1014.562378,1014.5460520161723,1014.4748655711735
37.88407642,1014.650192,1014.600888173097,1014.5309145494915
38.83153842,1014.770203,1014.6900294493365,1014.7122413039834
39.77902842,1014.995422,1014.8508137882596,1014.937598038082
40.72640042,1015.352249,1015.1148032109746,1015.1701900454348
41.67377242,1015.943375,1015.5510243837998,1015.4302822452878
42.62112942,1015.943375,1015.7575822943345,1015.7007614157111
43.56846942,1015.867844,1015.8156411038077,1015.8863956484518
44.51581542,1015.799637,1015.8072070894574,1015.8981907025926
45.46350542,1015.799637,1015.8032134447419,1015.7517424269164
46.41131242,1015.49736,1015.6421947982647,1015.5495580979868
47.35909042,1015.032425,1015.3211529712186,1015.373039658667
48.30681942,1015.032425,1015.1691343780828,1015.219027997187
49.25453642,1014.982147,1015.0706726506161,1015.0426806582275
50.20231842,1014.682846,1014.8664963771453,1014.8298789967473
51.15010142,1014.287567,1014.5616836018997,1014.6041846283857
52.09781742,1014.189911,1014.3659674590289,1014.379599986211
53.04555542,1014.08905,1014.2201751323297,1014.1420983460106
53.99343442,1013.48114,1013.8310853801298,1013.8886816082172
54.94141142,1013.467102,1013.6394541525666,1013.6620029177242
55.88946442,1013.466873,1013.5485850738506,1013.5217158491088
56.83775242,1013.466492,1013.5053642643052,1013.4821273776903
57.78584842,1013.466873,1013.4850913031019,1013.4947107341281
58.73382542,1013.468323,1013.4762629381529,1013.498287819576
59.68195642,1013.469467,1013.4726931080177,1013.4759697249112
60.62998442,1013.469467,1013.4710027346482,1013.4546251153289
61.57808042,1013.465805,1013.4682742747493,1013.4575624101902
62.52618142,1013.465729,1013.466950170041,1013.4741417279057
63.47430042,1013.464355,1013.4655841025498,1013.4789823393356
64.42249042,1013.465729,1013.4656763291935,1013.4675141038628
65.37063142,1013.478317,1013.4723396049403,1013.4597270685659
66.31863742,1013.483505,1013.4782261661367,1013.4712470207623
67.26679742,1013.489227,1013.4840020122351,1013.4927510144753
68.21477842,1013.50502,1013.495059677646,1013.503574637323
69.16279742,1013.511658,1013.5037982708367,1013.4994385615493
70.11034642,1013.511658,1013.5079361386498,1013.4984899209142
71.05795542,1013.511658,1013.5098954872161,1013.5198176378119
72.00555042,1013.621521,1013.5686644790045,1013.5618107820542
72.95320242,1013.634491,1013.6033371075707,1013.604189932391
73.90098742,1013.634491,1013.6197551683058,1013.6275275071541
74.84857142,1013.634491,1013.6275293904934,1013.627035850711
75.79597142,1013.616791,1013.6218917514682,1013.6096323188099
76.74343042,1013.542252,1013.5799544831195,1013.5836192892436
77.69088742,1013.51387,1013.5451541837296,1013.5537279812887
78.63836642,1013.502045,1013.522473805902,1013.5225552376323
