"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
3.056204319E-2,5.181558744E1,4.693841639E0,-1.933242440E0,-1.000000000E0,-1.000000000E0,1.793756656E2,1.793756656E2
7.555119514E0,5.181556195E1,4.694067424E0,4.473409777E0,3.644184768E-1,-1.000000000E0,6.400000000E1,6.400000000E1
8.555120111E0,5.181557697E1,4.694017818E0,-9.919742178E-1,4.704917073E-1,-1.000000000E0,6.400000000E1,6.400000000E1
9.555121303E0,5.181551076E1,4.694003578E0,2.226560177E0,4.384993315E-1,-1.000000000E0,4.800000000E1,4.800000000E1
1.055512166E1,5.181549571E1,4.694029256E0,2.500121838E0,4.704917073E-1,-1.000000000E0,4.800000000E1,4.800000000E1
1.155512249E1,5.181549618E1,4.694017403E0,2.521404625E0,7.733645439E-1,-1.000000000E0,4.800000000E1,4.800000000E1
1.255512297E1,5.181551158E1,4.694034122E0,2.519310033E0,7.733645439E-1,-1.000000000E0,4.800000000E1,4.800000000E1
1.355516219E1,5.181551527E1,4.694034988E0,2.539150623E0,4.958951771E-1,-1.000000000E0,4.800000000E1,4.800000000E1
1.455516291E1,5.181551557E1,4.694027082E0,2.544598809E0,3.989923000E-1,-1.000000000E0,4.800000000E1,4.800000000E1
1.555516815E1,5.181551376E1,4.694047310E0,2.543317150E0,5.102690458E-1,-1.000000000E0,4.800000000E1,4.800000000E1
1.655516791E1,5.181550617E1,4.694047140E0,2.547106297E0,5.365164876E-1,-1.000000000E0,4.800000000E1,4.800000000E1
1.755517399E1,5.181551637E1,4.694024969E0,2.541442731E0,5.365164876E-1,-1.000000000E0,4.800000000E1,4.800000000E1
1.855517364E1,5.181553094E1,4.694012612E0,2.543190370E0,7.091757059E-1,-1.000000000E0,4.800000000E1,4.800000000E1
1.955518007E1,5.181553057E1,4.694007611E0,2.555007208E0,4.017669559E-1,-1.000000000E0,4.800000000E1,4.800000000E1
2.055518019E1,5.181557821E1,4.693979994E0,2.554983829E0,9.036650509E-2,-1.000000000E0,4.800724964E1,4.800724964E1
2.155518639E1,5.181558028E1,4.693944517E0,2.581255982E0,1.465472728E-1,-1.000000000E0,3.200483309E1,3.200483309E1
2.292919350E1,5.181559051E1,4.693896264E0,-3.341816178E1,1.465472728E-1,-1.000000000E0,2.400362482E1,2.400362482E1
2.392919302E1,5.181559693E1,4.693909148E0,2.584145919E0,8.854528666E-1,-1.000000000E0,2.400362482E1,2.400362482E1
2.492919850E1,5.181560812E1,4.693912423E0,2.584172191E0,8.854528666E-1,-1.000000000E0,2.400362482E1,2.400362482E1
2.592919827E1,5.181560853E1,4.693916307E0,2.584174818E0,4.539914131E-1,-1.000000000E0,1.600241655E1,1.600241655E1
2.692920518E1,5.181560547E1,4.693932790E0,2.584175081E0,4.539914131E-1,-1.000000000E0,1.600241655E1,1.600241655E1
2.792920554E1,5.181560572E1,4.693950223E0,2.584175107E0,1.765777588E0,-1.000000000E0,1.600241655E1,1.600241655E1
2.892920458E1,5.181562294E1,4.693974489E0,2.584175110E0,1.765777588E0,3.040780411E1,1.600241655E1,1.600241655E1
2.992920983E1,5.181562781E1,4.693984981E0,2.584175110E0,1.298971295E0,3.558889192E1,1.600241655E1,1.600241655E1
3.092920959E1,5.181562942E1,4.693998874E0,2.584175110E0,8.716555834E-1,3.298208533E1,1.600241655E1,1.600241655E1
3.192921460E1,5.181563314E1,4.694005878E0,2.584175110E0,6.388247013E-1,2.790394043E1,1.600241655E1,1.600241655E1
3.292921424E1,5.181563316E1,4.694015395E0,2.584175110E0,7.569989562E-1,2.263451437E1,1.600241655E1,1.600241655E1
3.392921376E1,5.181563458E1,4.694028025E0,2.584175110E0,7.569989562E-1,1.924613778E1,1.600241655E1,1.600241655E1
3.492921364E1,5.181564211E1,4.694035409E0,2.584175110E0,8.354350328E-1,8.446073616E0,1.600241655E1,1.600241655E1
3.592921317E1,5.181564682E1,4.694046414E0,2.584175110E0,8.354350328E-1,6.861992665E0,1.600241655E1,1.600241655E1
3.692921245E1,5.181563632E1,4.694053820E0,2.584175110E0,8.578087091E-1,1.160428393E1,1.600241655E1,1.600241655E1
3.792921162E1,5.181564657E1,4.694071406E0,2.584175110E0,1.220584393E0,3.188137986E1,1.600241655E1,1.600241655E1
3.892921162E1,5.181564713E1,4.694084251E0,2.584175110E0,9.287769794E-1,4.349607897E1,1.600241655E1,1.600241655E1
3.992921126E1,5.181564596E1,4.694110217E0,2.584175110E0,9.287769794E-1,5.496816033E1,1.600241655E1,1.600241655E1
4.092921066E1,5.181563832E1,4.694124120E0,2.584175110E0,7.123874128E-2,5.981986226E1,2.691881822E1,2.691881822E1
4.192920959E1,5.181563421E1,4.694118536E0,2.584175110E0,2.938576788E-2,6.648215855E1,2.670804588E1,2.670804588E1
4.292920947E1,5.181563281E1,4.694125901E0,2.584175110E0,4.794369340E-1,7.113482877E1,2.632062134E1,2.632062134E1
4.392920828E1,5.181563423E1,4.694138012E0,2.584175110E0,2.568139434E-1,7.261594163E1,2.608849211E1,2.608849211E1
4.492920780E1,5.181563705E1,4.694144998E0,2.584175110E0,4.794369340E-1,7.034437098E1,2.619219704E1,2.619219704E1
4.592920744E1,5.181563797E1,4.694142870E0,2.584175110E0,4.807760715E-1,6.377180971E1,2.634086867E1,2.634086867E1
4.692920649E1,5.181563981E1,4.694158367E0,2.584175110E0,7.586412430E-1,6.764941739E1,2.619403773E1,2.619403773E1
4.792920578E1,5.181564137E1,4.694177527E0,2.584175110E0,7.849557996E-1,7.612432977E1,2.565900743E1,2.565900743E1
4.892920554E1,5.181563810E1,4.694181547E0,2.584175110E0,7.849557996E-1,6.799537330E1,2.520100893E1,2.520100893E1
4.992920506E1,5.181564073E1,4.694187010E0,2.584175110E0,7.849557996E-1,5.076347880E1,4.122016981E1,4.122016981E1
5.092920387E1,5.181564369E1,4.694192020E0,2.584175110E0,7.935511470E-1,4.333740685E1,4.130936808E1,4.130936808E1
5.192920363E1,5.181565024E1,4.694204491E0,2.584175110E0,9.273117781E-1,4.905367413E1,4.154315789E1,4.154315789E1
5.292920315E1,5.181565500E1,4.694215571E0,2.584175110E0,9.273117781E-1,5.055854239E1,3.200483309E1,3.200483309E1
5.392920244E1,5.181565771E1,4.694225983E0,2.584175110E0,8.684906960E-1,5.432084281E1,3.200483309E1,3.200483309E1
5.492920125E1,5.181566101E1,4.694234535E0,2.584175110E0,6.605072021E-1,5.937971804E1,3.200483309E1,3.200483309E1
5.592920101E1,5.181566195E1,4.694241773E0,2.584175110E0,5.398118496E-1,5.595788206E1,3.200483309E1,3.200483309E1
5.692920101E1,5.181566084E1,4.694245908E0,2.584175110E0,5.625498891E-1,5.372829999E1,3.200483309E1,3.200483309E1
5.792919934E1,5.181566351E1,4.694245732E0,2.584175110E0,5.673629642E-1,5.227635204E1,3.200483309E1,3.200483309E1
5.892919886E1,5.181566631E1,4.694246416E0,2.584175110E0,5.673629642E-1,5.112670143E1,3.200483309E1,3.200483309E1
5.992919803E1,5.181567043E1,4.694251477E0,2.584175110E0,-1.000000000E0,-1.000000000E0,3.200483309E1,3.200483309E1
6.092919791E1,5.181567248E1,4.694253888E0,-2.603625576E0,5.673629642E-1,4.248593839E1,3.200483309E1,3.200483309E1
6.192919743E1,5.181567445E1,4.694257335E0,2.065395041E0,3.220781684E-1,4.217502135E1,3.200483309E1,3.200483309E1
6.292919600E1,5.181568055E1,4.694257783E0,2.532297103E0,3.319236636E-1,3.830582847E1,3.200483309E1,3.200483309E1
6.392919600E1,5.181568048E1,4.694254323E0,2.578987309E0,3.220781684E-1,3.885235972E1,3.200483309E1,3.200483309E1
6.492919517E1,5.181568151E1,4.694262985E0,2.583656330E0,-1.000000000E0,-1.000000000E0,3.200483309E1,3.200483309E1
6.592919433E1,5.181568147E1,4.694273721E0,-2.661096324E0,-1.000000000E0,-1.000000000E0,3.200483309E1,3.200483309E1
6.692919326E1,5.181568186E1,4.694281517E0,-6.841852947E0,-1.000000000E0,-1.000000000E0,3.200483309E1,3.200483309E1
6.792919290E1,5.181567721E1,4.694288512E0,-1.017941622E1,4.244977236E-1,4.720685245E1,3.200483309E1,3.200483309E1
6.892919219E1,5.181567233E1,4.694300242E0,1.307815977E0,4.597485065E-1,5.197519192E1,3.200483309E1,3.200483309E1
6.992919171E1,5.181567368E1,4.694305203E0,2.456539197E0,1.375014707E-2,5.488641662E1,3.200483309E1,3.200483309E1
7.092919111E1,5.181566841E1,4.694321640E0,2.571411519E0,3.668919802E-1,5.944397646E1,3.200483309E1,3.200483309E1
7.192919016E1,5.181566610E1,4.694329245E0,2.582898751E0,3.289939165E-1,5.574430204E1,3.200483309E1,3.200483309E1
7.292918909E1,5.181565649E1,4.694325888E0,2.584047474E0,2.492440492E-1,4.866331857E1,3.200483309E1,3.200483309E1
7.392918861E1,5.181565525E1,4.694311428E0,2.584162346E0,1.280566007E-1,2.292510306E1,3.200483309E1,3.200483309E1
7.492918777E1,5.181565498E1,4.694311572E0,2.584173834E0,2.492440492E-1,1.296468430E1,3.200483309E1,3.200483309E1
7.592918754E1,5.181566235E1,4.694303320E0,2.584174982E0,3.377744257E-1,6.057289232E0,3.200483309E1,3.200483309E1
7.692918622E1,5.181566762E1,4.694301888E0,2.584175097E0,3.659522235E-1,2.846359460E0,3.200483309E1,3.200483309E1
7.792918587E1,5.181567431E1,4.694299950E0,2.584175109E0,4.586794376E-1,3.582451159E2,3.200483309E1,3.200483309E1
7.892918503E1,5.181568740E1,4.694277679E0,2.584175110E0,5.891254544E-1,3.460662602E2,3.200483309E1,3.200483309E1
7.992918408E1,5.181569525E1,4.694270684E0,2.584175110E0,5.820157528E-1,3.457372910E2,3.200483309E1,3.200483309E1
8.092918336E1,5.181569809E1,4.694269949E0,2.584175110E0,5.891254544E-1,3.445484009E2,3.200483309E1,3.200483309E1
8.192918336E1,5.181570973E1,4.694255119E0,2.584175110E0,6.198638082E-1,3.418061346E2,3.200483309E1,3.200483309E1
8.292918181E1,5.181570803E1,4.694252368E0,2.584175110E0,4.022938907E-1,3.431608070E2,3.200483309E1,3.200483309E1
8.392918122E1,5.181570114E1,4.694247657E0,2.584175110E0,1.904614121E-1,3.447304391E2,3.200483309E1,3.200483309E1
8.492918038E1,5.181569270E1,4.694243278E0,2.584175110E0,1.128420159E-1,3.427203144E2,3.200483309E1,3.200483309E1
8.592917991E1,5.181568393E1,4.694238249E0,2.584175110E0,1.636245996E-1,3.415523248E2,3.200483309E1,3.200483309E1
8.692917895E1,5.181567840E1,4.694233753E0,2.584175110E0,1.176367775E-1,3.399507547E2,3.200483309E1,3.200483309E1
8.792917895E1,5.181567248E1,4.694233725E0,2.584175110E0,1.326441020E-1,3.381619281E2,3.200483309E1,3.200483309E1
8.892917824E1,5.181567547E1,4.694236559E0,2.584175110E0,4.011469707E-2,1.557513991E2,3.200483309E1,3.200483309E1
8.992917728E1,5.181567456E1,4.694238184E0,2.584175110E0,1.326441020E-1,1.501242795E2,3.200483309E1,3.200483309E1
9.092917621E1,5.181567178E1,4.694240295E0,2.584175110E0,-1.000000000E0,-1.000000000E0,3.200483309E1,3.200483309E1
9.192917609E1,5.181566670E1,4.694240551E0,-1.786899154E0,4.240735769E-1,1.274127940E2,3.200483309E1,3.200483309E1
9.292917478E1,5.181566373E1,4.694242099E0,2.147067683E0,3.974171579E-1,1.172867380E2,3.200483309E1,3.200483309E1
9.392917395E1,5.181566844E1,4.694236965E0,2.540464367E0,3.974171579E-1,1.042428525E2,3.200483309E1,3.200483309E1
9.492917347E1,5.181566054E1,4.694239187E0,2.579804036E0,1.263002455E-1,1.147490632E2,3.200483309E1,3.200483309E1
9.592917323E1,5.181565715E1,4.694238950E0,2.583738002E0,1.873792261E-1,1.118928010E2,3.200483309E1,3.200483309E1
9.692917240E1,5.181567195E1,4.694240607E0,2.584131399E0,1.873792261E-1,3.565975376E2,3.200483309E1,3.200483309E1
9.792917120E1,5.181567200E1,4.694229295E0,2.584170739E0,8.987091184E-1,3.213672853E2,3.200483309E1,3.200483309E1
9.892917061E1,5.181567180E1,4.694228247E0,2.584174673E0,4.088864103E-2,2.986924506E2,3.200483309E1,3.200483309E1
9.992917001E1,5.181566397E1,4.694243771E0,2.584175066E0,2.443237044E-2,3.005266842E2,3.200483309E1,3.200483309E1
1.009291693E2,5.181565550E1,4.694243369E0,2.584175105E0,4.088864103E-2,3.005157833E2,3.200483309E1,3.200483309E1
1.019291687E2,5.181564458E1,4.694236524E0,2.584175109E0,5.334346294E-1,2.831270779E2,3.200483309E1,3.200483309E1
1.029291674E2,5.181563791E1,4.694226044E0,2.584175110E0,5.645204186E-1,2.778935137E2,3.200483309E1,3.200483309E1
1.039291672E2,5.181562721E1,4.694212961E0,2.584175110E0,7.980758548E-1,2.775696535E2,3.200483309E1,3.200483309E1
1.049291666E2,5.181561683E1,4.694214267E0,2.584175110E0,6.450260282E-1,2.765779373E2,3.200483309E1,3.200483309E1
1.059291656E2,5.181560372E1,4.694219509E0,2.584175110E0,6.450260282E-1,2.766564572E2,3.200483309E1,3.200483309E1
1.069291652E2,5.181559112E1,4.694230951E0,2.584175110E0,2.002031207E-1,2.736195365E2,3.501608734E1,3.501608734E1
1.079291641E2,5.181558608E1,4.694237349E0,2.584175110E0,2.338663340E-1,2.712453081E2,3.431152467E1,3.431152467E1
1.089291636E2,5.181557886E1,4.694237975E0,2.584175110E0,7.244640030E-3,2.672712035E2,3.383928251E1,3.383928251E1
1.099291625E2,5.181557256E1,4.694243306E0,2.584175110E0,1.705056727E-1,2.593870342E2,3.200483309E1,3.200483309E1
1.109291624E2,5.181556263E1,4.694246663E0,2.584175110E0,7.922364771E-2,2.568994793E2,3.200483309E1,3.200483309E1
1.119291611E2,5.181556334E1,4.694246816E0,2.584175110E0,1.105511785E-1,2.582586050E2,3.200483309E1,3.200483309E1
1.129291608E2,5.181556657E1,4.694250543E0,2.584175110E0,1.689269580E-2,2.602312456E2,3.200483309E1,3.200483309E1
1.139291601E2,5.181556740E1,4.694250769E0,2.584175110E0,1.223497279E-2,2.637032493E2,3.200483309E1,3.200483309E1
1.149291592E2,5.181557289E1,4.694256988E0,2.584175110E0,3.381837904E-2,2.645279263E2,3.200483309E1,3.200483309E1
1.159291581E2,5.181556641E1,4.694263496E0,2.584175110E0,2.698315494E-2,2.658897294E2,3.200483309E1,3.200483309E1
1.169291579E2,5.181556087E1,4.694255930E0,2.584175110E0,2.138680667E-1,7.443801754E1,3.200483309E1,3.200483309E1
1.179291565E2,5.181555772E1,4.694258491E0,2.584175110E0,4.205457866E-1,9.522836888E1,3.200483309E1,3.200483309E1
1.189291563E2,5.181555753E1,4.694266292E0,2.584175110E0,6.090798974E-1,8.772310430E1,3.200483309E1,3.200483309E1
1.199291553E2,5.181555846E1,4.694268838E0,2.584175110E0,5.976052880E-1,6.445663863E1,3.200483309E1,3.200483309E1
1.209291551E2,5.181555715E1,4.694272188E0,2.584175110E0,6.090798974E-1,7.133499430E1,3.200483309E1,3.200483309E1
1.219291543E2,5.181555654E1,4.694282977E0,2.584175110E0,6.842847466E-1,1.054460450E2,3.200483309E1,3.200483309E1
1.229291531E2,5.181555654E1,4.694282977E0,2.584175110E0,0.000000000E0,1.054460450E2,3.200483309E1,3.200483309E1
1.239291530E2,5.181555654E1,4.694282977E0,2.584175110E0,0.000000000E0,1.054460450E2,3.200483309E1,3.200483309E1
1.249291519E2,5.181556011E1,4.694292172E0,2.584175110E0,1.636937633E-2,1.051782948E2,3.200483309E1,3.200483309E1
1.259291511E2,5.181556588E1,4.694290946E0,2.584175110E0,1.452047825E-1,1.046348986E2,3.200483309E1,3.200483309E1
1.269291501E2,5.181556639E1,4.694283132E0,2.584175110E0,1.325734705E-1,1.042009015E2,3.200483309E1,3.200483309E1
1.279291497E2,5.181556746E1,4.694267931E0,2.584175110E0,1.342660487E-1,8.924955596E1,3.200483309E1,3.200483309E1
1.289291486E2,5.181558242E1,4.694247752E0,2.584175110E0,2.003270388E-1,5.341670335E1,3.351383202E1,3.351383202E1
