"Time (s)","X (hPa)"
-5.517972917E-1,1.011843262E3
4.712937083E-1,1.011837616E3
1.494144708E0,1.011843262E3
2.517000708E0,1.011853180E3
3.539907708E0,1.011856461E3
4.562851708E0,1.011861877E3
4.714550708E0,1.011861877E3
5.661659708E0,1.011874542E3
6.608856708E0,1.011926575E3
7.556066708E0,1.012036743E3
8.503352708E0,1.012161560E3
9.450714708E0,1.012243652E3
1.039809471E1,1.012276917E3
1.134563071E1,1.012276917E3
1.229322671E1,1.012211761E3
1.324078871E1,1.012095413E3
1.418817671E1,1.012010422E3
1.513537171E1,1.011995773E3
1.608264471E1,1.011922073E3
1.702996971E1,1.011884918E3
1.797727271E1,1.011883545E3
1.892454871E1,1.011875534E3
1.987183971E1,1.011875534E3
2.081913571E1,1.011882401E3
2.176660371E1,1.011895370E3
2.271403771E1,1.011895370E3
2.366145971E1,1.011887741E3
2.460917571E1,1.011862869E3
2.555704071E1,1.011851578E3
2.650491371E1,1.011842804E3
2.745282471E1,1.011835709E3
2.840058071E1,1.011835709E3
2.934847771E1,1.011849594E3
3.029636771E1,1.011859360E3
3.124426471E1,1.011861572E3
3.219213871E1,1.011871262E3
3.314007271E1,1.011884384E3
3.408815671E1,1.011886902E3
3.503638271E1,1.011886902E3
3.598416571E1,1.011879654E3
3.693188371E1,1.011875992E3
3.787962371E1,1.011868668E3
3.882740871E1,1.011862488E3
3.977527171E1,1.011857147E3
4.072315171E1,1.011852570E3
4.167107671E1,1.011849594E3
4.261901071E1,1.011848068E3
4.356714171E1,1.011837311E3
4.451520571E1,1.011837311E3
4.546325571E1,1.011837769E3
4.641121671E1,1.011838760E3
4.735928771E1,1.011840210E3
4.830734671E1,1.011841660E3
4.925545671E1,1.011845016E3
5.020356671E1,1.011853256E3
5.115176271E1,1.011865158E3
5.209989871E1,1.011870728E3
5.304822371E1,1.011886292E3
5.399681971E1,1.011889267E3
5.494545071E1,1.011893539E3
5.589423671E1,1.011900864E3
5.684296771E1,1.011900864E3
5.779162771E1,1.011878891E3
5.874028771E1,1.011878891E3
5.968912471E1,1.011887741E3
6.063787571E1,1.011891708E3
6.158665171E1,1.011891861E3
6.253535171E1,1.011896439E3
6.348382871E1,1.011901245E3
6.443252571E1,1.011932068E3
6.538136771E1,1.011932068E3
6.633024071E1,1.011932068E3
6.727913871E1,1.011940460E3
6.822793571E1,1.011940460E3
6.917672171E1,1.011939926E3
7.012541671E1,1.011939926E3
7.107378071E1,1.011958313E3
7.202225071E1,1.011958313E3
7.297062971E1,1.011948166E3
7.391910371E1,1.011945114E3
7.486756471E1,1.011935272E3
7.581586771E1,1.011932449E3
7.676420371E1,1.011932449E3
7.771270671E1,1.011931839E3
7.866116271E1,1.011935272E3
7.960957971E1,1.011937408E3
8.055809471E1,1.011941452E3
8.150663671E1,1.011941452E3
8.245520571E1,1.011929779E3
8.340372671E1,1.011927109E3
